CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00080515,THE EMERSON ELECTRIC CO. PAC,EMERSON ELECTRIC CO.,Q,C,emerson electric co,22500.0,true,2016,2020
C00081273,MIDAMERICAN ENERGY COMPANY PAC,MIDAMERICAN ENERGY COMPANY,Q,C,midamerican energy company,15830.29,true,2018,2026
C00081547,DTE ENERGY COMPANY POLITICAL ACTION COMMITTEE,DTE ENERGY COMPANY,Q,C,dte energy company,133000.0,true,2016,2020
C00082792,ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,ELI LILLY AND COMPANY,Q,C,eli lilly company,99448.92,true,2018,2026
C00082800,PACIFICORP - PACIFIC POWER/ROCKY MOUNTAIN POWER PAC,PACIFICORP,Q,C,pacificorp pacific power rocky mountain power,0.0,False,,
C00083535,DUKE ENERGY CORPORATION PAC,DUKE ENERGY CORPORATION,Q,C,duke energy corporation,423175.98,true,2016,2026
C00083832,IDA-PAC POLITICAL ACTION COMMITTEE,NONE,Q,C,ida,0.0,False,,
C00083857,OCCIDENTAL PETROLEUM CORPORATION POLITICAL ACTION COMMITTEE,OCCIDENTAL PETROLEUM CORPORATION,Q,C,occidental petroleum corporation,33308.7,true,2016,2026
C00084475,3M COMPANY PAC,3M COMPANY,Q,C,3m company,63250.0,true,2016,2026
C00084871,CELANESE CORPORATION POLITICAL ACTION COMMITTEE,CELANESE CORPORATION,Q,C,celanese corporation,15000.0,true,2016,2018
C00085316,CIGNA CORPORATION POLITICAL ACTION COMMITTEE,CIGNA CORPORATION,Q,C,cigna corporation,0.0,False,,
C00087155,FIRST FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,CITIZENS STATE BANK WOODVILLE TEXAS POLITICAL ACTION COMMITTEE,Q,C,first financial corporation,0.0,False,,
C00087478,CINCINNATI BELL INC FEDERAL PAC,CINCINNATI BELL INC,Q,C,cincinnati bell inc federal,0.0,False,,
C00087874,"CONAGRA BRANDS, INC. GOOD GOVERNMENT ASSOCIATION","CONAGRA BRANDS, INC.",Q,C,conagra brands inc good government association,43500.0,true,2018,2026
C00088435,RYDER SYSTEM INC. EMPLOYEES POLITICAL ACTION COMMITTEE,RYDER SYSTEM INC.,Q,C,ryder system inc,65100.0,true,2016,2026
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,NORTHROP GRUMMAN CORPORATION,Q,C,northrop grumman corporation,220181.85,true,2016,2026
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",ALTRIA GROUP INC.,Q,C,altria group inc altriapac,160803.81,true,2016,2026
C00089342,"T-MOBILE US, INC./SPRINT CORPORATION POLITICAL ACTION COMMITTEE","T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",Q,C,t mobile us inc sprint corporation,0.0,False,,
C00090209,YRC WORLDWIDE INC. PAC,YRC WORLDWIDE INC.,Q,C,yrc worldwide inc,0.0,False,,
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,WALMART INC.,Q,C,walmart inc responsible government,202718.1,true,2016,2026
C00093096,BASIC AMERICAN INC. POLITICAL ACTION COMMITTEE DBA BASIC AMERICAN FOODS PAC,NONE,Q,C,basic american inc dba basic american foods,0.0,False,,
C00093179,AUSTIN INDUSTRIES COMPANIES POLITICAL ACTION COMMITTEE,AUSTIN INDUSTRIES COMPANIES POLITICAL ACTION COMMITTEE,Q,C,austin industries companies,0.0,False,,
C00093963,ARCHER DANIELS MIDLAND COMPANY-ADM PAC,ARCHER DANIELS MIDLAND COMPANY-ADM PAC,Q,C,archer daniels midland company adm,76900.0,true,2016,2024
C00094573,ELECT - THE PAC OF THE ALABAMA FARMERS FEDERATION,ALABAMA FARMERS FEDERATION *,Q,C,elect alabama farmers federation,0.0,False,,
C00094581,MUTUAL OF OMAHA COMPANIES PAC (IMPAC),MUTUAL OF OMAHA,Q,C,mutual omaha companies impac,0.0,False,,
C00095109,AZOA SERVICES CORPORATION POLITICAL ACTION COMMITTEE (ALLIANZ OF AMERICA PAC),AZOA SERVICES CORPORATION,Q,C,azoa services corporation allianz america,0.0,False,,
C00095117,GRAND TRUNK WESTERN RAILROAD CO. - ILLINOIS CENTRAL RAILROAD CO. PAC (GTW-IC PAC),GRAND TRUNK WESTERN RAILROAD COMPANY,Q,C,grand trunk western railroad co illinois central railroad co gtw ic,0.0,False,,
C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,HONEYWELL INTERNATIONAL,Q,C,honeywell international,261153.03,true,2016,2026
C00096842,THE AMERICAN ELECTRIC POWER COMMITTEE FOR RESPONSIBLE GOVERNMENT,AMERICAN ELECTRIC POWER,Q,C,american electric power responsible government,1000.0,true,2026,2026
C00097485,"MERCK & CO., INC., EMPLOYEES POLITICAL ACTION COMMITTEE (MERCK PAC)","MERCK & CO., INC.",Q,C,merck co inc merck,0.0,False,,
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,RAYTHEON TECHNOLOGIES CORPORATION,Q,C,raytheon technologies corporation,0.0,False,,
C00098061,TARGET CORPORATION CITIZENS POLITICAL FORUM (TARGETCITIZENS POLITICAL FORUM),TARGET CORPORATION,Q,C,target corporation citizens forum targetcitizens forum,0.0,False,,
C00099945,WEC ENERGY GROUP PAC,WEC ENERGY GROUP INC/INTEGRYS PAC,Q,C,wec energy group,0.0,False,,
C00100131,THE GOODYEAR TIRE & RUBBER COMPANY GOOD GOVERNMENT FUND (GOODYEAR GOOD GOVERNMENT FUND),THE GOODYEAR TIRE & RUBBER COMPANY GOOD GOVERNMENT FUND (GOODYEAR GOOD GOVERNMENT FUND),Q,C,goodyear tire rubber company good government goodyear good government,0.0,False,,
C00100305,"PETER PAN SEAFOODS, INC. POLITICAL ACTION COMMITTEE  (1220 ASSOCIATES)","PETER PAN SEAFOODS, INC.",Q,C,peter pan seafoods inc 1220 associates,0.0,False,,
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC","L3HARRIS TECHNOLOGIES, INC.",Q,C,l3harris technologies inc,578761.65,true,2020,2024
C00100693,"CBOE GLOBAL MARKETS, INC. PAC (CBOE PAC)","CBOE GLOBAL MARKETS, INC.",Q,C,cboe global markets inc cboe,512857.62,true,2016,2026
C00101485,ECOLAB INC. POLITICAL ACTION COMMITTEE,ECOLAB INC.,Q,C,ecolab inc,41808.2,true,2016,2020
C00101766,"UNITED AIRLINES, INC. POLITICAL ACTION COMMITTEE (UAPAC)","UNITED AIRLINES, INC.",Q,C,united airlines inc uapac,208975.33,true,2016,2024
C00102152,WASHINGTON GAS LIGHT COMPANY PAC,WASHINGTON GAS LIGHT COMPANY,Q,C,washington gas light company,0.0,False,,
C00102160,EVERSOURCE ENERGY POLITICAL ACTION COMMITTEE (EVERSOURCEPAC),EVERSOURCE ENERGY,Q,C,eversource energy eversourcepac,0.0,False,,
C00103549,PARSONS CORPORATION POLITICAL ACTION COMMITTEE,PARSONS CORPORATION,Q,C,parsons corporation,0.0,False,,
C00103697,"BECHTEL GROUP, INC. POLITICAL ACTION COMMITTEE (BECHTEL POLITICAL ACTION COMMITTEE)",BECHTEL,Q,C,bechtel group inc bechtel,0.0,False,,
C00103903,"HDR, INC. POLITICAL ACTION COMMITTEE","HDR, INC.",Q,C,hdr inc,0.0,False,,
