message_id,email_date,email_subject,company,industry,subsidiary_of,section_type,event_type,executive_name,old_position,new_position,effective_date,posted_date,raw_event_text
1860ba7f92a541ea,2023-02-01T01:23:06+00:00,464 News on Global Fortune 500,Marcus by Goldman Sachs,Banking,Goldman Sachs,Changes,unparsed,,,,,January 6,"within the existing contacts:Swati Bhatia, Head of Marcus and Co-Chief Executive Officer Greensky, is retiring (posted on January 6)."
1860ba7f92a541ea,2023-02-01T01:23:06+00:00,464 News on Global Fortune 500,Huawei UK,Telecommunications,Huawei Technologies International,Changes,unparsed,,,,,January 5,"within the existing contacts: Anson Zhang who was, becomes (posted on January 5)."
1860ba7f92a541ea,2023-02-01T01:23:06+00:00,464 News on Global Fortune 500,3M,Industrial Conglomerates,,Changes,unparsed,,,,,January 4,"within the existing contacts:Sarah Grauze, Senior Vice President and Treasurer, is retiring (posted on January 4)."
1860ba7f92a541ea,2023-02-01T01:23:06+00:00,464 News on Global Fortune 500,La Banque Postale,Banking,Groupe La Poste,Changes,unparsed,,,,,January 4,"within the existing contacts: Emmanuel Montoya who was, becomes (posted on January 4)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,CVS Health,Retail,,Changes,unparsed,,,,,January 13,"within the existing contacts:Thomas Moriarty, Executive Vice President, Chief Policy and External Affairs Officer and General Counsel, will leave the company in Apr. 2023 (posted on January 13)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,Textron Systems,Aerospace,Textron,Changes,unparsed,,,,,January 24,Tom Hammoor is promoted to President and Chief Executive Officer (posted on January 24).
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,Adobe,Software,,Changes,unparsed,,,,,January 17,"within the existing contacts:Ann Lewnes, Chief Marketing Officer and Executive Vice President, Corporate Strategy and Development, will retire in Feb. 2023 (posted on January 17)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,AT&T,Telecommunications,,Changes,unparsed,,,,,January 17,"within the existing contacts: Ronald Dedman who was, becomes (posted on January 17)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,AMD,Semiconductors,,Changes,unparsed,,,,,January 12,"Devinder Kumar, Executive Vice President, Chief Financial Officer and Treasurer, will retire in Apr. 2023 (posted on January 12)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,Marsh-JLT Specialty UK & Ireland,Insurance,Marsh-JLT Specialty,Changes,unparsed,,,,,January 16,"within the existing contacts: Mike Johnson, who was, is promoted to (posted on January 16)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,Willis Asia Pacific,Insurance,Willis International,Changes,unparsed,,,,,January 12,"Clare Muhiudeen, Head of Asia, will retire in Feb. 2023 (posted on January 12)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,BlackRock APAC,Fund,BlackRock,Changes,unparsed,,,,"Jul. 1, 2021",January 10,"Christian Obrist who is, will be promoted to on Jul. 1, 2021 (posted on January 10)."
1860ba7f83fbe6b9,2023-02-01T01:23:05+00:00,449 News on S&P 500,3M,Industrial Conglomerates,,Changes,unparsed,,,,,January 4,"within the existing contacts:Sarah Grauze, Senior Vice President and Treasurer, is retiring (posted on January 4)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Everest Re,Reinsurance,,Changes,unparsed,,,,,December 30,"within the existing contacts:John Weber, Director has passed away. We are deeply saddened (posted on December 30)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Bank First Corp,Banking,,Changes,unparsed,,,,,December 30,"Donald Brisch who was, becomes (posted on December 30)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Revive,Communication & Sales,Weber Shandwick,Changes,unparsed,,,,,December 29,"within the existing contacts: Joanne Thornton who was, becomes (posted on December 29)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,ImmunoGen,Biotechnology,,Changes,unparsed,,,,,December 29,"within the existing contacts: Susan Altschuller, who was Senior Vice President and Chief Financial Officer, has left for medical reason. We wish Susan a prompt recovery (posted on December 29)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Woodward,Aerospace,,Changes,unparsed,,,,,December 21,"within the existing contacts:Douglas Salter, Corporate Vice President, Technology, is retiring (posted on December 21)."
