company,company_norm,ticker_candidates_str
BRUNSWICK CORP,BRUNSWICK,BC|BC.PRA|BC.PRC
byNordic Acquisition Corp,BYNORDIC ACQUISITION,BYNO|BYNOU
"CALIX, INC",CALIX,CALX|CLXLF
"CANTALOUPE, INC.",CANTALOUPE,CTLP|CTLPP
"CareCloud, Inc.",CARECLOUD,CCLD|CCLDO
Carlyle Credit Income Fund,CARLYLE CREDIT INCOME FUND,CCIA|CCIF
"Carlyle Secured Lending, Inc.",CARLYLE SECURED LENDING,CGBD|CGBDL
CARNIVAL CORP,CARNIVAL,CCL|CUK|CUKPF
Cayson Acquisition Corp,CAYSON ACQUISITION,CAPN|CAPNR|CAPNU
CDW Corp,CDW,CDW|CDWHF
CENTRAL GARDEN & PET CO,CENTRAL GARDEN AND PET,CENT|CENTA
Centurion Acquisition Corp.,CENTURION ACQUISITION,ALF|ALFUU
Charlton Aria Acquisition Corp,CHARLTON ARIA ACQUISITION,CHAR|CHARU
CHART INDUSTRIES INC,CHART INDUSTRIES,GTLS|GTLS.PRB
Chatham Lodging Trust,CHATHAM LODGING TRUST,CLDT|CLDT.PRA
Cherry Hill Mortgage Investment Corp,CHERRY HILL MORTGAGE INVESTMENT,CHMI|CHMI.PRA|CHMI.PRB
China Foods Holdings Ltd.,CHINA FOODS,CFOO|CHFHY|CHNFF
CHS INC,CHS,CHSCL|CHSCM|CHSCN|CHSCO|CHSCP
CION Investment Corp,CION INVESTMENT,CICB|CION
"City Office REIT, Inc.",CITY OFFICE REIT,CIO|CIO.PRA
"Clearway Energy, Inc.",CLEARWAY ENERGY,CWEN|CWEN.A
CMS ENERGY CORP,CMS ENERGY,CMS|CMS.PRC|CMSA|CMSC|CMSD
"CNO Financial Group, Inc.",CNO FINANCIAL,CNO|CNO.PRA
CO2 Energy Transition Corp.,CO2 ENERGY TRANSITION,NOEM|NOEMR|NOEMU
COFFEE HOLDING CO INC,COFFEE,COFE|JVA
COMCAST CORP,COMCAST,CCZ|CMCSA
"Compass, Inc.",COMPASS,CMPGF|CMPGY|COMP
Compass Diversified Holdings,COMPASS DIVERSIFIED,CODI|CODI.PRA|CODI.PRB|CODI.PRC
COMSovereign Holding Corp.,COMSOVEREIGN,COMS|COMSP
"ConnectOne Bancorp, Inc.",CONNECTONE BANCORP,CNOB|CNOBP
"Corebridge Financial, Inc.",COREBRIDGE FINANCIAL,CRBD|CRBG
CRAWFORD & CO,CRAWFORD AND,CRD.A|CRD.B
"Crescent Capital BDC, Inc.",CRESCENT CAPITAL BDC,CCAP|FCRX
"CTO Realty Growth, Inc.",CTO REALTY GROWTH,CTO|CTO.PRA
