company,company_norm,ticker_candidates_str
Spring Valley Acquisition Corp. II,SPRING VALLEY ACQUISITION CORP II,SVII|SVIIR|SVIIU
SSR MINING INC.,SSR MINING,SSRGF|SSRM
"STAR GROUP, L.P.",STAR,SGU|STHO
Star Holdings,STAR,SGU|STHO
"STAR EQUITY HOLDINGS, INC.",STAR EQUITY,STRR|STRRP
"STEM, INC.",STEM,STEM|STMH
STIFEL FINANCIAL CORP,STIFEL FINANCIAL,SF|SF.PRB|SF.PRC|SF.PRD|SFB
"Summit Hotel Properties, Inc.",SUMMIT HOTEL PROPERTIES,INN|INN.PRE|INN.PRF
"Sunstone Hotel Investors, Inc.",SUNSTONE HOTEL INVESTORS,SHO|SHO.PRH|SHO.PRI
SURO CAPITAL CORP.,SURO CAPITAL,SSSS|SSSSL
SWK Holdings Corp,SWK,SWKH|SWKHL
Synchrony Financial,SYNCHRONY FINANCIAL,SYF|SYF.PRA|SYF.PRB
SYNOVUS FINANCIAL CORP,SYNOVUS FINANCIAL,SNV|SNV.PRD|SNV.PRE
Tamboran Resources Corp,TAMBORAN RESOURCES,TBN|TBNRL
TARGET CORP,TARGET,CBDY|TGT
Tavia Acquisition Corp.,TAVIA ACQUISITION,TAVI|TAVIR|TAVIU
TELEPHONE & DATA SYSTEMS INC /DE/,TELEPHONE AND DATA SYSTEMS,TDS|TDS.PRV|TDSpU
TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA PHARMACEUTICAL INDUSTRIES,TEVA|TEVJF
"Tingo Group, Inc.",TINGO,TIOG|TMNA
TORO CO,TORO,TORO|TTC
"TPG RE Finance Trust, Inc.",TPG RE FINANCE TRUST,TRTX|TRTX.PRC
Trinity Capital Inc.,TRINITY CAPITAL,TRIN|TRINI|TRINZ
Triton International Ltd,TRITON INTERNATIONAL,TRTN.PRB|TRTN.PRC|TRTN.PRD|TRTN.PRE
"Triumph Financial, Inc.",TRIUMPH FINANCIAL,TFIN|TFIN.PR
TRUIST FINANCIAL CORP,TRUIST FINANCIAL,TFC|TFC.PRI|TFC.PRO|TFC.PRR
TWO HARBORS INVESTMENT CORP.,TWO HARBORS INVESTMENT,TWO|TWO.PRA|TWO.PRB|TWO.PRC|TWOD
U-Haul Holding Co /NV/,U HAUL,UHAL|UHAL.B
UMB FINANCIAL CORP,UMB FINANCIAL,UMBF|UMBFO
"Under Armour, Inc.",UNDER ARMOUR,UA|UAA
UNION ELECTRIC CO,UNION ELECTRIC,UELMO|UEPCN|UEPCO|UEPCP|UEPEM|UEPEN|UEPEO|UEPEP
Unum Group,UNUM,UNM|UNMA
"URBAN ONE, INC.",URBAN ONE,UONE|UONEK
VALLEY NATIONAL BANCORP,VALLEY NATIONAL BANCORP,VLY|VLYPN|VLYPO|VLYPP
Vine Hill Capital Investment Corp.,VINE HILL CAPITAL INVESTMENT,VCIC|VCICU
VORNADO REALTY TRUST,VORNADO REALTY TRUST,VNO|VNO.PRL|VNO.PRM|VNO.PRN|VNO.PRO|VNORP
"Voya Financial, Inc.",VOYA FINANCIAL,VOYA|VOYA.PRB
WAFD INC,WAFD,WAFD|WAFDP
WATSCO INC,WATSCO,WSO|WSO.B
WEBSTER FINANCIAL CORP,WEBSTER FINANCIAL,WBS|WBS.PRF|WBS.PRG
Welsbach Technology Metals Acquisition Corp.,WELSBACH TECHNOLOGY METALS ACQUISITION,WTMA|WTMAR|WTMAU
WESBANCO INC,WESBANCO,WSBC|WSBCP
"Wheeler Real Estate Investment Trust, Inc.",WHEELER REAL ESTATE INVESTMENT TRUST,MTLPF|WHLR|WHLRD|WHLRL|WHLRP
"WhiteHorse Finance, Inc.",WHITEHORSE FINANCE,WHF|WHFCL
WILLAMETTE VALLEY VINEYARDS INC,WILLAMETTE VALLEY VINEYARDS,WVVI|WVVIP
Willow Lane Acquisition Corp.,WILLOW LANE ACQUISITION,WLAC|WLACU
WINTRUST FINANCIAL CORP,WINTRUST FINANCIAL,WTFC|WTFCN
WinVest Acquisition Corp.,WINVEST ACQUISITION,WINV|WINVR|WINVU
XAI Octagon Floating Rate & Alternative Income Trust,XAI OCTAGON FLOATING RATE AND ALTERNATIVE INCOME TRUST,XFLT|XFLT.PRA
XOMA Royalty Corp,XOMA ROYALTY,XOMA|XOMAO|XOMAP
YHN Acquisition I Ltd,YHN ACQUISITION I,YHNA|YHNAR|YHNAU
Yotta Acquisition Corp,YOTTA ACQUISITION,YOTA|YOTAR|YOTAU
Zai Lab Ltd,ZAI LAB,ZAILF|ZLAB
"ZILLOW GROUP, INC.",ZILLOW,Z|ZG
