company,company_norm,looks_like_fund_or_etf
SCHLUMBERGER LIMITED/NV,SCHLUMBERGER LIMITED NV,False
SCHWAB CHARLES CORP,SCHWAB CHARLES,False
scPharmaceuticals Inc.,SCPHARMACEUTICALS,False
SEACOAST BANKING CORP OF FLORIDA,SEACOAST BANKING CORP OF FLORIDA,False
SEALED AIR CORP/DE,SEALED AIR CORP DE,False
SecureWorks Corp,SECUREWORKS,False
SERVOTRONICS INC /DE/,SERVOTRONICS,False
Shepherd Ave Capital Acquisition Corp,SHEPHERD AVE CAPITAL ACQUISITION,False
ShoulderUP Technology Acquisition Corp.,SHOULDERUP TECHNOLOGY ACQUISITION,False
"SHYFT GROUP, INC.",SHYFT,False
SIM Acquisition Corp. I,SIM ACQUISITION CORP I,False
"Singular Genomics Systems, Inc.",SINGULAR GENOMICS SYSTEMS,False
Six Flags Entertainment Corporation/NEW,SIX FLAGS ENTERTAINMENT CORPORATION NEW,False
SJW GROUP,SJW,False
SK Growth Opportunities Corp,SK GROWTH OPPORTUNITIES,False
SKECHERS USA INC,SKECHERS USA,False
SMARTSHEET INC,SMARTSHEET,False
"SMC Entertainment, Inc.",SMC ENTERTAINMENT,False
SMITH A O CORP,SMITH A O,False
SolarWinds Corp,SOLARWINDS,False
SOUTHERN CALIFORNIA EDISON Co,SOUTHERN CALIFORNIA EDISON,False
"Southern States Bancshares, Inc.",SOUTHERN STATES BANCSHARES,False
Southport Acquisition Corp,SOUTHPORT ACQUISITION,False
SouthState Corp,SOUTHSTATE,False
SpartanNash Co,SPARTANNASH,False
"Spirit Airlines, Inc.",SPIRIT AIRLINES,False
"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",SPORTSMAN S WAREHOUSE,False
"SpringWorks Therapeutics, Inc.",SPRINGWORKS THERAPEUTICS,False
"SRM Entertainment, Inc.",SRM ENTERTAINMENT,False
"Sterling Bancorp, Inc.",STERLING BANCORP,False
Stimcell Energetics Inc.,STIMCELL ENERGETICS,False
"STRATS SM TRUST FOR WAL-MART STORES, INC. SECURITIES, SERIES 2005-4",STRATS SM TRUST FOR WAL MART STORES INC SECURITIES SERIES 2005 4,True
STREAMLINE HEALTH SOLUTIONS INC.,STREAMLINE HEALTH SOLUTIONS,False
"Stronghold Digital Mining, Inc.",STRONGHOLD DIGITAL MINING,False
STRUCTURED PRODUCTS CORP CRED ENHANCE CORTS TR FOR AON CAP A,STRUCTURED PRODUCTS CORP CRED ENHANCE CORTS TR FOR AON CAP A,False
"Summit Materials, Inc.",SUMMIT MATERIALS,False
SUNLINK HEALTH SYSTEMS INC,SUNLINK HEALTH SYSTEMS,False
"Surrozen, Inc./DE",SURROZEN INC DE,False
Swiftmerge Acquisition Corp.,SWIFTMERGE ACQUISITION,False
"SWISS HELVETIA FUND, INC.",SWISS HELVETIA FUND,True
"Synaptogenix, Inc.",SYNAPTOGENIX,False
TAUTACHROME INC.,TAUTACHROME,False
"TEMPUR SEALY INTERNATIONAL, INC.",TEMPUR SEALY INTERNATIONAL,False
Tennessee Valley Authority,TENNESSEE VALLEY AUTHORITY,False
"Terra Property Trust, Inc.",TERRA PROPERTY TRUST,True
Territorial Bancorp Inc.,TERRITORIAL BANCORP,False
Teucrium Commodity Trust,TEUCRIUM COMMODITY TRUST,True
TEXAS CAPITAL BANCSHARES INC/TX,TEXAS CAPITAL BANCSHARES INC TX,False
"TFF Pharmaceuticals, Inc.",TFF PHARMACEUTICALS,False
"TheRealReal, Inc.",THEREALREAL,False
"Thunder Bridge Capital Partners IV, Inc.",THUNDER BRIDGE CAPITAL PARTNERS IV,False
Tidal Commodities Trust I,TIDAL COMMODITIES TRUST I,True
"TILLY'S, INC.",TILLY S,False
"Tipmefast, Inc.",TIPMEFAST,False
TITAN PHARMACEUTICALS INC,TITAN PHARMACEUTICALS,False
TOKEN COMMUNITIES LTD.,TOKEN COMMUNITIES,False
"TORTOISE PIPELINE & ENERGY FUND, INC.",TORTOISE PIPELINE AND ENERGY FUND,True
Trailblazer Merger Corp I,TRAILBLAZER MERGER CORP I,False
"Trans American Aquaculture, Inc",TRANS AMERICAN AQUACULTURE,False
Travel & Leisure Co.,TRAVEL AND LEISURE,False
TREES Corp (Colorado),TREES CORP COLORADO,False
"Tri Pointe Homes, Inc.",TRI POINTE HOMES,False
TRIUMPH GROUP INC,TRIUMPH,False
TRUSTCO BANK CORP N Y,TRUSTCO BANK CORP N Y,False
TUPPERWARE BRANDS CORP,TUPPERWARE BRANDS,False
Turnstone Biologics Corp.,TURNSTONE BIOLOGICS,False
TuSimple Holdings Inc.,TUSIMPLE,False
U S GLOBAL INVESTORS INC,U S GLOBAL INVESTORS,False
U.S. GOLD CORP.,U S GOLD,False
U.S. GoldMining Inc.,U S GOLDMINING,False
"U.S. Lighting Group, Inc.",U S LIGHTING,False
U S PHYSICAL THERAPY INC /NV,U S PHYSICAL THERAPY INC NV,False
"Unique Logistics International, Inc.",UNIQUE LOGISTICS INTERNATIONAL,False
uniQure N.V.,UNIQURE N V,False
UNITED BANKSHARES INC/WV,UNITED BANKSHARES INC WV,False
"United States 12 Month Natural Gas Fund, LP",UNITED STATES 12 MONTH NATURAL GAS FUND,True
"United States Natural Gas Fund, LP",UNITED STATES NATURAL GAS FUND,True
UNITED STATES STEEL CORP,UNITED STATES STEEL,False
Uniti Group Inc.,UNITI,False
UNIVERSAL DISPLAY CORP \PA\,UNIVERSAL DISPLAY CORP PA,False
UNIVERSAL SECURITY INSTRUMENTS INC,UNIVERSAL SECURITY INSTRUMENTS,False
UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,UNIVERSAL STAINLESS AND ALLOY PRODUCTS,False
US BANCORP \DE\,US BANCORP DE,False
V F CORP,V F,False
"Vacasa, Inc.",VACASA,False
VALERO ENERGY CORP/TX,VALERO ENERGY CORP TX,False
VanEck Bitcoin ETF,VANECK BITCOIN ETF,True
"Verb Technology Company, Inc.",VERB TECHNOLOGY,False
VERISIGN INC/CA,VERISIGN INC CA,False
Verona Pharma plc,VERONA PHARMA,False
Vertex Energy Inc.,VERTEX ENERGY,False
"Verve Therapeutics, Inc.",VERVE THERAPEUTICS,False
"Vestiage, Inc.",VESTIAGE,False
"Via Renewables, Inc.",VIA RENEWABLES,False
VIAD CORP,VIAD,False
"Vigil Neuroscience, Inc.",VIGIL NEUROSCIENCE,False
Village Bank & Trust Financial Corp.,VILLAGE BANK AND TRUST FINANCIAL,True
"Vintage Wine Estates, Inc.",VINTAGE WINE ESTATES,False
"Viracta Therapeutics, Inc.",VIRACTA THERAPEUTICS,False
"Viridian Therapeutics, Inc.\DE",VIRIDIAN THERAPEUTICS INC DE,False
Vizio Holding Corp.,VIZIO,False
VOXX International Corp,VOXX INTERNATIONAL,False
Voyager Acquisition Corp./Cayman Islands,VOYAGER ACQUISITION CORP CAYMAN ISLANDS,False
VS Trust,VS TRUST,True
W. P. Carey Inc.,W P CAREY,False
"W.W. GRAINGER, INC.",W W GRAINGER,False
Wag! Group Co.,WAG,False
"Walgreens Boots Alliance, Inc.",WALGREENS BOOTS ALLIANCE,False
WARPSPEED TAXI INC.,WARPSPEED TAXI,False
WELLS FARGO & COMPANY/MN,WELLS FARGO AND COMPANY MN,False
WESTERN ALLIANCE BANCORPORATION,WESTERN ALLIANCE BANCORPORATION,False
"Wilhelmina International, Inc.",WILHELMINA INTERNATIONAL,False
William Penn Bancorporation,WILLIAM PENN BANCORPORATION,False
"WISA TECHNOLOGIES, INC.",WISA TECHNOLOGIES,False
WisdomTree Bitcoin Fund,WISDOMTREE BITCOIN FUND,True
WK Kellogg Co,WK KELLOGG,False
World Gold Trust,WORLD GOLD TRUST,True
"World Scan Project, Inc.",WORLD SCAN PROJECT,False
"XBP Europe Holdings, Inc.",XBP EUROPE,False
"Y-mAbs Therapeutics, Inc.",Y MABS THERAPEUTICS,False
YERBAE BRANDS CORP.,YERBAE BRANDS,False
Yong Bai Chao New Retail Corp,YONG BAI CHAO NEW RETAIL,False
Yoshiharu Global Co.,YOSHIHARU GLOBAL,False
Yuenglings Ice Cream Corp,YUENGLINGS ICE CREAM,False
Zhanling International Ltd,ZHANLING INTERNATIONAL,False
