company,company_norm,ticker_candidates_str,TICKER_COMMON
Ready Capital Corp,READY CAPITAL,RC|RC.PRC|RC.PRE|RCB|RCC|RCD,RC
REGENCY CENTERS CORP,REGENCY CENTERS,REG|REGCO|REGCP,REG
"REGIONAL HEALTH PROPERTIES, INC",REGIONAL HEALTH PROPERTIES,RHEP|RHEPB,RHEP
REGIONS FINANCIAL CORP,REGIONS FINANCIAL,RF|RF.PRC|RF.PRE|RF.PRF,RF
REINSURANCE GROUP OF AMERICA INC,REINSURANCE GROUP OF AMERICA,RGA|RZB|RZC,RGA
RENAISSANCERE HOLDINGS LTD,RENAISSANCERE,RNR|RNR.PRF|RNR.PRG,RNR
RESMED INC,RESMED,RMD|RSMDF,RMD
"Rexford Industrial Realty, Inc.",REXFORD INDUSTRIAL REALTY,REXR|REXR.PRB|REXR.PRC,REXR
RF Acquisition Corp II,RF ACQUISITION CORP II,RFAI|RFAIR|RFAIU,RFAI
Rigel Resource Acquisition Corp.,RIGEL RESOURCE ACQUISITION,RRAC.U|RRACF,RRACF
Rithm Capital Corp.,RITHM CAPITAL,RITM|RITM.PRA|RITM.PRB|RITM.PRC|RITM.PRD,RITM
Roman DBDR Acquisition Corp. II,ROMAN DBDR ACQUISITION CORP II,DRDB|DRDBU,DRDB
Runway Growth Finance Corp.,RUNWAY GROWTH FINANCE,RWAY|RWAYL|RWAYZ,RWAY
Sachem Capital Corp.,SACHEM CAPITAL,SACH|SACH.PRA|SCCD|SCCE|SCCF|SCCG,SACH
SARATOGA INVESTMENT CORP.,SARATOGA INVESTMENT,SAJ|SAR|SAT|SAY|SAZ,SAJ
"SAUL CENTERS, INC.",SAUL CENTERS,BFS|BFS.PRD|BFS.PRE,BFS
SELECTIVE INSURANCE GROUP INC,SELECTIVE INSURANCE,SIGI|SIGIP,SIGI
Seritage Growth Properties,SERITAGE GROWTH PROPERTIES,SRG|SRG.PRA,SRG
"Shift4 Payments, Inc.",SHIFT4 PAYMENTS,FOUR|FOUR.PRA,FOUR
SIMON PROPERTY GROUP INC /DE/,SIMON PROPERTY,SPG|SPG.PRJ,SPG
SL GREEN REALTY CORP,SL GREEN REALTY,SLG|SLG.PRI,SLG
SLM Corp,SLM,SLM|SLMBP,SLM
"SmartStop Self Storage REIT, Inc.",SMARTSTOP SELF STORAGE REIT,SMA|SSST|STSFF,SMA
"Soluna Holdings, Inc",SOLUNA,SLNH|SLNHP,SLNH
"Sound Point Meridian Capital, Inc.",SOUND POINT MERIDIAN CAPITAL,SPMA|SPMC|SPME,SPMA
SOUTHERN CALIFORNIA GAS CO,SOUTHERN CALIFORNIA GAS,SOCGM|SOCGP,SOCGM
"SPAR Group, Inc.",SPAR,SGPPF|SGPPY|SGRP,SGPPF
Spark I Acquisition Corp,SPARK I ACQUISITION,SPKL|SPKLU,SPKL
SPIRE INC,SPIRE,SR|SR.PRA,SR
Spring Valley Acquisition Corp. II,SPRING VALLEY ACQUISITION CORP II,SVII|SVIIR|SVIIU,SVII
SSR MINING INC.,SSR MINING,SSRGF|SSRM,SSRGF
"STAR GROUP, L.P.",STAR,SGU|STHO,SGU
"STAR EQUITY HOLDINGS, INC.",STAR EQUITY,STRR|STRRP,STRR
"STEM, INC.",STEM,STEM|STMH,STEM
STIFEL FINANCIAL CORP,STIFEL FINANCIAL,SF|SF.PRB|SF.PRC|SF.PRD|SFB,SF
"Summit Hotel Properties, Inc.",SUMMIT HOTEL PROPERTIES,INN|INN.PRE|INN.PRF,INN
"Sunstone Hotel Investors, Inc.",SUNSTONE HOTEL INVESTORS,SHO|SHO.PRH|SHO.PRI,SHO
SURO CAPITAL CORP.,SURO CAPITAL,SSSS|SSSSL,SSSS
SWK Holdings Corp,SWK,SWKH|SWKHL,SWKH
Synchrony Financial,SYNCHRONY FINANCIAL,SYF|SYF.PRA|SYF.PRB,SYF
SYNOVUS FINANCIAL CORP,SYNOVUS FINANCIAL,SNV|SNV.PRD|SNV.PRE,SNV
Tamboran Resources Corp,TAMBORAN RESOURCES,TBN|TBNRL,TBN
TARGET CORP,TARGET,CBDY|TGT,CBDY
Tavia Acquisition Corp.,TAVIA ACQUISITION,TAVI|TAVIR|TAVIU,TAVI
TELEPHONE & DATA SYSTEMS INC /DE/,TELEPHONE AND DATA SYSTEMS,TDS|TDS.PRV|TDSpU,TDS
TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA PHARMACEUTICAL INDUSTRIES,TEVA|TEVJF,TEVA
"Tingo Group, Inc.",TINGO,TIOG|TMNA,TIOG
TORO CO,TORO,TORO|TTC,TORO
"TPG RE Finance Trust, Inc.",TPG RE FINANCE TRUST,TRTX|TRTX.PRC,TRTX
Trinity Capital Inc.,TRINITY CAPITAL,TRIN|TRINI|TRINZ,TRIN
Triton International Ltd,TRITON INTERNATIONAL,TRTN.PRB|TRTN.PRC|TRTN.PRD|TRTN.PRE,TRTN.PRB
"Triumph Financial, Inc.",TRIUMPH FINANCIAL,TFIN|TFIN.PR,TFIN
TRUIST FINANCIAL CORP,TRUIST FINANCIAL,TFC|TFC.PRI|TFC.PRO|TFC.PRR,TFC
TWO HARBORS INVESTMENT CORP.,TWO HARBORS INVESTMENT,TWO|TWO.PRA|TWO.PRB|TWO.PRC|TWOD,TWO
U-Haul Holding Co /NV/,U HAUL,UHAL|UHAL.B,UHAL
UMB FINANCIAL CORP,UMB FINANCIAL,UMBF|UMBFO,UMBF
"Under Armour, Inc.",UNDER ARMOUR,UA|UAA,UA
UNION ELECTRIC CO,UNION ELECTRIC,UELMO|UEPCN|UEPCO|UEPCP|UEPEM|UEPEN|UEPEO|UEPEP,UELMO
Unum Group,UNUM,UNM|UNMA,UNM
"URBAN ONE, INC.",URBAN ONE,UONE|UONEK,UONE
VALLEY NATIONAL BANCORP,VALLEY NATIONAL BANCORP,VLY|VLYPN|VLYPO|VLYPP,VLY
Vine Hill Capital Investment Corp.,VINE HILL CAPITAL INVESTMENT,VCIC|VCICU,VCIC
VORNADO REALTY TRUST,VORNADO REALTY TRUST,VNO|VNO.PRL|VNO.PRM|VNO.PRN|VNO.PRO|VNORP,VNO
"Voya Financial, Inc.",VOYA FINANCIAL,VOYA|VOYA.PRB,VOYA
WAFD INC,WAFD,WAFD|WAFDP,WAFD
WATSCO INC,WATSCO,WSO|WSO.B,WSO
WEBSTER FINANCIAL CORP,WEBSTER FINANCIAL,WBS|WBS.PRF|WBS.PRG,WBS
Welsbach Technology Metals Acquisition Corp.,WELSBACH TECHNOLOGY METALS ACQUISITION,WTMA|WTMAR|WTMAU,WTMA
WESBANCO INC,WESBANCO,WSBC|WSBCP,WSBC
"Wheeler Real Estate Investment Trust, Inc.",WHEELER REAL ESTATE INVESTMENT TRUST,MTLPF|WHLR|WHLRD|WHLRL|WHLRP,MTLPF
"WhiteHorse Finance, Inc.",WHITEHORSE FINANCE,WHF|WHFCL,WHF
WILLAMETTE VALLEY VINEYARDS INC,WILLAMETTE VALLEY VINEYARDS,WVVI|WVVIP,WVVI
Willow Lane Acquisition Corp.,WILLOW LANE ACQUISITION,WLAC|WLACU,WLAC
WINTRUST FINANCIAL CORP,WINTRUST FINANCIAL,WTFC|WTFCN,WTFC
WinVest Acquisition Corp.,WINVEST ACQUISITION,WINV|WINVR|WINVU,WINV
XAI Octagon Floating Rate & Alternative Income Trust,XAI OCTAGON FLOATING RATE AND ALTERNATIVE INCOME TRUST,XFLT|XFLT.PRA,XFLT
XOMA Royalty Corp,XOMA ROYALTY,XOMA|XOMAO|XOMAP,XOMA
YHN Acquisition I Ltd,YHN ACQUISITION I,YHNA|YHNAR|YHNAU,YHNA
Yotta Acquisition Corp,YOTTA ACQUISITION,YOTA|YOTAR|YOTAU,YOTA
Zai Lab Ltd,ZAI LAB,ZAILF|ZLAB,ZAILF
"ZILLOW GROUP, INC.",ZILLOW,Z|ZG,Z
