company,company_norm,ticker_candidates_str,TICKER_COMMON
"BrightSpring Health Services, Inc.",BRIGHTSPRING HEALTH SERVICES,BTSG|BTSGU,BTSG
BRISTOL MYERS SQUIBB CO,BRISTOL MYERS SQUIBB,BMY|BMYMP,BMY
"Brookfield Oaktree Holdings, LLC",BROOKFIELD OAKTREE,OAK.PRA|OAK.PRB,OAK.PRA
BRUKER CORP,BRUKER,BRKR|BRKRP,BRKR
BRUNSWICK CORP,BRUNSWICK,BC|BC.PRA|BC.PRC,BC
byNordic Acquisition Corp,BYNORDIC ACQUISITION,BYNO|BYNOU,BYNO
"CALIX, INC",CALIX,CALX|CLXLF,CALX
"CANTALOUPE, INC.",CANTALOUPE,CTLP|CTLPP,CTLP
"CareCloud, Inc.",CARECLOUD,CCLD|CCLDO,CCLD
Carlyle Credit Income Fund,CARLYLE CREDIT INCOME FUND,CCIA|CCIF,CCIA
"Carlyle Secured Lending, Inc.",CARLYLE SECURED LENDING,CGBD|CGBDL,CGBD
CARNIVAL CORP,CARNIVAL,CCL|CUK|CUKPF,CCL
Cayson Acquisition Corp,CAYSON ACQUISITION,CAPN|CAPNR|CAPNU,CAPN
CDW Corp,CDW,CDW|CDWHF,CDW
CENTRAL GARDEN & PET CO,CENTRAL GARDEN AND PET,CENT|CENTA,CENT
Centurion Acquisition Corp.,CENTURION ACQUISITION,ALF|ALFUU,ALF
Charlton Aria Acquisition Corp,CHARLTON ARIA ACQUISITION,CHAR|CHARU,CHAR
CHART INDUSTRIES INC,CHART INDUSTRIES,GTLS|GTLS.PRB,GTLS
Chatham Lodging Trust,CHATHAM LODGING TRUST,CLDT|CLDT.PRA,CLDT
Cherry Hill Mortgage Investment Corp,CHERRY HILL MORTGAGE INVESTMENT,CHMI|CHMI.PRA|CHMI.PRB,CHMI
China Foods Holdings Ltd.,CHINA FOODS,CFOO|CHFHY|CHNFF,CFOO
CHS INC,CHS,CHSCL|CHSCM|CHSCN|CHSCO|CHSCP,CHSCL
CION Investment Corp,CION INVESTMENT,CICB|CION,CICB
"City Office REIT, Inc.",CITY OFFICE REIT,CIO|CIO.PRA,CIO
"Clearway Energy, Inc.",CLEARWAY ENERGY,CWEN|CWEN.A,CWEN
CMS ENERGY CORP,CMS ENERGY,CMS|CMS.PRC|CMSA|CMSC|CMSD,CMS
"CNO Financial Group, Inc.",CNO FINANCIAL,CNO|CNO.PRA,CNO
CO2 Energy Transition Corp.,CO2 ENERGY TRANSITION,NOEM|NOEMR|NOEMU,NOEM
COFFEE HOLDING CO INC,COFFEE,COFE|JVA,COFE
COMCAST CORP,COMCAST,CCZ|CMCSA,CCZ
"Compass, Inc.",COMPASS,CMPGF|CMPGY|COMP,CMPGF
Compass Diversified Holdings,COMPASS DIVERSIFIED,CODI|CODI.PRA|CODI.PRB|CODI.PRC,CODI
COMSovereign Holding Corp.,COMSOVEREIGN,COMS|COMSP,COMS
"ConnectOne Bancorp, Inc.",CONNECTONE BANCORP,CNOB|CNOBP,CNOB
"Corebridge Financial, Inc.",COREBRIDGE FINANCIAL,CRBD|CRBG,CRBD
CRAWFORD & CO,CRAWFORD AND,CRD.A|CRD.B,CRD.A
"Crescent Capital BDC, Inc.",CRESCENT CAPITAL BDC,CCAP|FCRX,CCAP
"CTO Realty Growth, Inc.",CTO REALTY GROWTH,CTO|CTO.PRA,CTO
"CULLEN/FROST BANKERS, INC.",CULLEN FROST BANKERS,CFR|CFR.PRB,CFR
"Customers Bancorp, Inc.",CUSTOMERS BANCORP,CUBB|CUBI|CUBI.PRF,CUBB
"DIGITAL REALTY TRUST, INC.",DIGITAL REALTY TRUST,DLR|DLR.PRJ|DLR.PRK|DLR.PRL,DLR
"DigitalBridge Group, Inc.",DIGITALBRIDGE,DBRG|DBRG.PRH|DBRG.PRI|DBRG.PRJ,DBRG
"Dime Community Bancshares, Inc. /NY/",DIME COMMUNITY BANCSHARES,DCOM|DCOMP,DCOM
Direct Selling Acquisition Corp.,DIRECT SELLING ACQUISITION,DSAQ|DSAQU,DSAQ
DIVERSIFIED HEALTHCARE TRUST,DIVERSIFIED HEALTHCARE TRUST,DHC|DHCNI|DHCNL,DHC
"dMY Squared Technology Group, Inc.",DMY SQUARED TECHNOLOGY,DMYY|DMYYU,DMYY
DONEGAL GROUP INC,DONEGAL,DGICA|DGICB,DGICA
DT Cloud Acquisition Corp,DT CLOUD ACQUISITION,DYCQ|DYCQR|DYCQU,DYCQ
DT Cloud Star Acquisition Corp,DT CLOUD STAR ACQUISITION,DTSQ|DTSQR|DTSQU,DTSQ
Dynamix Corp,DYNAMIX,ETHM|ETHMU,ETHM
DYNEX CAPITAL INC,DYNEX CAPITAL,DX|DX.PRC,DX
Eagle Point Credit Co Inc.,EAGLE POINT CREDIT,ECC|ECC.PRD|ECCC|ECCF|ECCV|ECCW|ECCX,ECC
ENBRIDGE INC,ENBRIDGE,EBBGF|EBBNF|EBGEF|EBRGF|EBRZF|ENB|ENBFF|ENBGF|ENBHF|ENBMF|ENBNF|ENBOF|ENBRF|ENNPF,EBBGF
Energy Transfer LP,ENERGY TRANSFER,ET|ET.PRI,ET
ENTERPRISE FINANCIAL SERVICES CORP,ENTERPRISE FINANCIAL SERVICES,EFSC|EFSCP|EFSG,EFSC
ENTERPRISE PRODUCTS PARTNERS L.P.,ENTERPRISE PRODUCTS PARTNERS,EPD|EPDU,EPD
EPR PROPERTIES,EPR PROPERTIES,EPR|EPR.PRC|EPR.PRE|EPR.PRG,EPR
EQV Ventures Acquisition Corp.,EQV VENTURES ACQUISITION,EQV|EQV.U,EQV
ESH Acquisition Corp.,ESH ACQUISITION,ESHA|ESHAR,ESHA
"ESPORTS ENTERTAINMENT GROUP, INC.",ESPORTS ENTERTAINMENT,GMBL|GMBLP,GMBL
Eureka Acquisition Corp,EUREKA ACQUISITION,EURK|EURKR|EURKU,EURK
"Exela Technologies, Inc.",EXELA TECHNOLOGIES,XELA|XELAP,XELA
"F&G Annuities & Life, Inc.",F AND G ANNUITIES AND LIFE,FG|FGN|FGSN,FG
FACT II Acquisition Corp.,FACT II ACQUISITION,FACT|FACTU,FACT
FARMERS & MERCHANTS BANCORP,FARMERS AND MERCHANTS BANCORP,FMAO|FMCB,FMAO
"Fat Brands, Inc",FAT BRANDS,FAT|FATBB|FATBP,FAT
