company,company_norm
STREAMLINE HEALTH SOLUTIONS INC.,STREAMLINE HEALTH SOLUTIONS
"Stronghold Digital Mining, Inc.",STRONGHOLD DIGITAL MINING
STRUCTURED PRODUCTS CORP CRED ENHANCE CORTS TR FOR AON CAP A,STRUCTURED PRODUCTS CORP CRED ENHANCE CORTS TR FOR AON CAP A
"Summit Materials, Inc.",SUMMIT MATERIALS
SUNLINK HEALTH SYSTEMS INC,SUNLINK HEALTH SYSTEMS
"Surrozen, Inc./DE",SURROZEN INC DE
Swiftmerge Acquisition Corp.,SWIFTMERGE ACQUISITION
"SWISS HELVETIA FUND, INC.",SWISS HELVETIA FUND
"Synaptogenix, Inc.",SYNAPTOGENIX
TAUTACHROME INC.,TAUTACHROME
"TEMPUR SEALY INTERNATIONAL, INC.",TEMPUR SEALY INTERNATIONAL
Tennessee Valley Authority,TENNESSEE VALLEY AUTHORITY
"Terra Property Trust, Inc.",TERRA PROPERTY TRUST
Territorial Bancorp Inc.,TERRITORIAL BANCORP
Teucrium Commodity Trust,TEUCRIUM COMMODITY TRUST
TEXAS CAPITAL BANCSHARES INC/TX,TEXAS CAPITAL BANCSHARES INC TX
"TFF Pharmaceuticals, Inc.",TFF PHARMACEUTICALS
"TheRealReal, Inc.",THEREALREAL
"Thunder Bridge Capital Partners IV, Inc.",THUNDER BRIDGE CAPITAL PARTNERS IV
Tidal Commodities Trust I,TIDAL COMMODITIES TRUST I
"TILLY'S, INC.",TILLY S
"Tipmefast, Inc.",TIPMEFAST
TITAN PHARMACEUTICALS INC,TITAN PHARMACEUTICALS
TOKEN COMMUNITIES LTD.,TOKEN COMMUNITIES
"TORTOISE PIPELINE & ENERGY FUND, INC.",TORTOISE PIPELINE AND ENERGY FUND
Trailblazer Merger Corp I,TRAILBLAZER MERGER CORP I
"Trans American Aquaculture, Inc",TRANS AMERICAN AQUACULTURE
Travel & Leisure Co.,TRAVEL AND LEISURE
TREES Corp (Colorado),TREES CORP COLORADO
"Tri Pointe Homes, Inc.",TRI POINTE HOMES
TRIUMPH GROUP INC,TRIUMPH
TRUSTCO BANK CORP N Y,TRUSTCO BANK CORP N Y
TUPPERWARE BRANDS CORP,TUPPERWARE BRANDS
Turnstone Biologics Corp.,TURNSTONE BIOLOGICS
TuSimple Holdings Inc.,TUSIMPLE
U S GLOBAL INVESTORS INC,U S GLOBAL INVESTORS
U.S. GOLD CORP.,U S GOLD
U.S. GoldMining Inc.,U S GOLDMINING
"U.S. Lighting Group, Inc.",U S LIGHTING
U S PHYSICAL THERAPY INC /NV,U S PHYSICAL THERAPY INC NV
"Unique Logistics International, Inc.",UNIQUE LOGISTICS INTERNATIONAL
uniQure N.V.,UNIQURE N V
UNITED BANKSHARES INC/WV,UNITED BANKSHARES INC WV
"United States 12 Month Natural Gas Fund, LP",UNITED STATES 12 MONTH NATURAL GAS FUND
"United States Natural Gas Fund, LP",UNITED STATES NATURAL GAS FUND
UNITED STATES STEEL CORP,UNITED STATES STEEL
Uniti Group Inc.,UNITI
UNIVERSAL DISPLAY CORP \PA\,UNIVERSAL DISPLAY CORP PA
UNIVERSAL SECURITY INSTRUMENTS INC,UNIVERSAL SECURITY INSTRUMENTS
UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,UNIVERSAL STAINLESS AND ALLOY PRODUCTS
US BANCORP \DE\,US BANCORP DE
V F CORP,V F
"Vacasa, Inc.",VACASA
VALERO ENERGY CORP/TX,VALERO ENERGY CORP TX
VanEck Bitcoin ETF,VANECK BITCOIN ETF
"Verb Technology Company, Inc.",VERB TECHNOLOGY
VERISIGN INC/CA,VERISIGN INC CA
Verona Pharma plc,VERONA PHARMA
Vertex Energy Inc.,VERTEX ENERGY
"Verve Therapeutics, Inc.",VERVE THERAPEUTICS
"Vestiage, Inc.",VESTIAGE
"Via Renewables, Inc.",VIA RENEWABLES
VIAD CORP,VIAD
"Vigil Neuroscience, Inc.",VIGIL NEUROSCIENCE
Village Bank & Trust Financial Corp.,VILLAGE BANK AND TRUST FINANCIAL
"Vintage Wine Estates, Inc.",VINTAGE WINE ESTATES
"Viracta Therapeutics, Inc.",VIRACTA THERAPEUTICS
"Viridian Therapeutics, Inc.\DE",VIRIDIAN THERAPEUTICS INC DE
Vizio Holding Corp.,VIZIO
VOXX International Corp,VOXX INTERNATIONAL
Voyager Acquisition Corp./Cayman Islands,VOYAGER ACQUISITION CORP CAYMAN ISLANDS
VS Trust,VS TRUST
W. P. Carey Inc.,W P CAREY
"W.W. GRAINGER, INC.",W W GRAINGER
Wag! Group Co.,WAG
"Walgreens Boots Alliance, Inc.",WALGREENS BOOTS ALLIANCE
WARPSPEED TAXI INC.,WARPSPEED TAXI
WELLS FARGO & COMPANY/MN,WELLS FARGO AND COMPANY MN
WESTERN ALLIANCE BANCORPORATION,WESTERN ALLIANCE BANCORPORATION
"Wilhelmina International, Inc.",WILHELMINA INTERNATIONAL
William Penn Bancorporation,WILLIAM PENN BANCORPORATION
"WISA TECHNOLOGIES, INC.",WISA TECHNOLOGIES
WisdomTree Bitcoin Fund,WISDOMTREE BITCOIN FUND
WK Kellogg Co,WK KELLOGG
World Gold Trust,WORLD GOLD TRUST
"World Scan Project, Inc.",WORLD SCAN PROJECT
"XBP Europe Holdings, Inc.",XBP EUROPE
"Y-mAbs Therapeutics, Inc.",Y MABS THERAPEUTICS
YERBAE BRANDS CORP.,YERBAE BRANDS
Yong Bai Chao New Retail Corp,YONG BAI CHAO NEW RETAIL
Yoshiharu Global Co.,YOSHIHARU GLOBAL
Yuenglings Ice Cream Corp,YUENGLINGS ICE CREAM
Zhanling International Ltd,ZHANLING INTERNATIONAL
