company,company_norm
"Checkpoint Therapeutics, Inc.",CHECKPOINT THERAPEUTICS
Chenghe Acquisition I Co.,CHENGHE ACQUISITION I
Chenghe Acquisition II Co.,CHENGHE ACQUISITION II
"Childrens Place, Inc.",CHILDRENS PLACE
CHIMERIX INC,CHIMERIX
"China Green Agriculture, Inc.",CHINA GREEN AGRICULTURE
CHOICE HOTELS INTERNATIONAL INC /DE,CHOICE HOTELS INTERNATIONAL INC DE
ChromaDex Corp.,CHROMADEX
Churchill Capital Corp IX/Cayman,CHURCHILL CAPITAL CORP IX CAYMAN
CION Ares Diversified Credit Fund,CION ARES DIVERSIFIED CREDIT FUND
CITIZENS FINANCIAL GROUP INC/RI,CITIZENS FINANCIAL GROUP INC RI
ClimateRock,CLIMATEROCK
"CLOVER HEALTH INVESTMENTS, CORP. /DE",CLOVER HEALTH INVESTMENTS CORP DE
"CLS Holdings USA, Inc.",CLS HOLDINGS USA
CNB FINANCIAL CORP/PA,CNB FINANCIAL CORP PA
CNH Industrial N.V.,CNH INDUSTRIAL N V
COASTAL FINANCIAL CORP,COASTAL FINANCIAL
Cohen Circle Acquisition Corp. I,COHEN CIRCLE ACQUISITION CORP I
"Coherus BioSciences, Inc.",COHERUS BIOSCIENCES
CoinShares Valkyrie Bitcoin Fund,COINSHARES VALKYRIE BITCOIN FUND
Coliseum Acquisition Corp.,COLISEUM ACQUISITION
COMMUNITY BANCORP /VT,COMMUNITY BANCORP VT
"Conifer Holdings, Inc.",CONIFER
CONNECTICUT LIGHT & POWER CO,CONNECTICUT LIGHT AND POWER
Connexa Sports Technologies Inc.,CONNEXA SPORTS TECHNOLOGIES
CONNS INC,CONNS
CONSOL Energy Inc.,CONSOL ENERGY
"Consolidated Communications Holdings, Inc.",CONSOLIDATED COMMUNICATIONS
"Container Store Group, Inc.",CONTAINER STORE
"Core Scientific, Inc./tx",CORE SCIENTIFIC INC TX
CORNING INC /NY,CORNING INC NY
COSTCO WHOLESALE CORP /NEW,COSTCO WHOLESALE CORP NEW
"Couchbase, Inc.",COUCHBASE
Criteo S.A.,CRITEO S A
Cyber App Solutions Corp.,CYBER APP SOLUTIONS
DallasNews Corp,DALLASNEWS
Damon Inc.,DAMON
"Danimer Scientific, Inc.",DANIMER SCIENTIFIC
Dave Inc./DE,DAVE INC DE
DBV Technologies S.A.,DBV TECHNOLOGIES S A
Denali Capital Acquisition Corp.,DENALI CAPITAL ACQUISITION
"DermTech, Inc.",DERMTECH
"Desktop Metal, Inc.",DESKTOP METAL
DEVON ENERGY CORP/DE,DEVON ENERGY CORP DE
Discover Financial Services,DISCOVER FINANCIAL SERVICES
Distoken Acquisition Corp,DISTOKEN ACQUISITION
"Dogecoin Cash, Inc.",DOGECOIN CASH
DOMINOS PIZZA INC,DOMINOS PIZZA
"Duckhorn Portfolio, Inc.",DUCKHORN PORTFOLIO
"Dun & Bradstreet Holdings, Inc.",DUN AND BRADSTREET
"e.l.f. Beauty, Inc.",E L F BEAUTY
"E2open Parent Holdings, Inc.",E2OPEN PARENT
"Eastside Distilling, Inc.",EASTSIDE DISTILLING
"ECO SCIENCE SOLUTIONS, INC.",ECO SCIENCE SOLUTIONS
"Edgio, Inc.",EDGIO
Elastic N.V.,ELASTIC N V
Elevai Labs Inc.,ELEVAI LABS
"Elevation Oncology, Inc.",ELEVATION ONCOLOGY
"Eline Entertainment Group, Inc.",ELINE ENTERTAINMENT
Elite Health Systems Inc.,ELITE HEALTH SYSTEMS
Embrace Change Acquisition Corp.,EMBRACE CHANGE ACQUISITION
EMCORE CORP,EMCORE
Emo Capital Corp.,EMO CAPITAL
"Empire State Realty OP, L.P.",EMPIRE STATE REALTY OP
"Endeavor Group Holdings, Inc.",ENDEAVOR
ENDI Corp.,ENDI
"Endo, Inc.",ENDO
"ENERGY FOCUS, INC/DE",ENERGY FOCUS INC DE
"Enfusion, Inc.",ENFUSION
"EnLink Midstream, LLC",ENLINK MIDSTREAM
Enstar Group LTD,ENSTAR
"ENTERGY MISSISSIPPI, LLC",ENTERGY MISSISSIPPI
ENZO BIOCHEM INC,ENZO BIOCHEM
Equity Commonwealth,EQUITY COMMONWEALTH
ESSA Pharma Inc.,ESSA PHARMA
Eterna Therapeutics Inc.,ETERNA THERAPEUTICS
EVANS BANCORP INC,EVANS BANCORP
Everest Consolidator Acquisition Corp,EVEREST CONSOLIDATOR ACQUISITION
Evergreen Corp,EVERGREEN
Everi Holdings Inc.,EVERI
"EXPRESS, INC.",EXPRESS
EXPRO GROUP HOLDINGS N.V.,EXPRO GROUP HOLDINGS N V
"EYENOVIA, INC.",EYENOVIA
EzFill Holdings Inc,EZFILL
FARMER BROTHERS CO,FARMER BROTHERS
"FARMHOUSE, INC. /NV",FARMHOUSE INC NV
FARO TECHNOLOGIES INC,FARO TECHNOLOGIES
Finnovate Acquisition Corp.,FINNOVATE ACQUISITION
FIRST BANCSHARES INC /MS/,FIRST BANCSHARES
FIRST CITIZENS BANCSHARES INC /DE/,FIRST CITIZENS BANCSHARES
FIRST COMMUNITY CORP /SC/,FIRST COMMUNITY
"First Financial Northwest, Inc.",FIRST FINANCIAL NORTHWEST
FIRST OF LONG ISLAND CORP,FIRST OF LONG ISLAND
FLANIGANS ENTERPRISES INC,FLANIGANS ENTERPRISES
Focus Impact BH3 Acquisition Co,FOCUS IMPACT BH3 ACQUISITION
"FOOT LOCKER, INC.",FOOT LOCKER
