CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00345603,UNISYS CORPORATION ASSOCIATES PAC,UNISYS CORPORATION,Q,C,unisys corporation associates,0.0,False,,
C00345793,RELX INC. POLITICAL ACTION COMMITTEE,RELX INC.,Q,C,relx inc,0.0,False,,
C00346353,"CRH AMERICAS, INC. PAC","CRH AMERICAS, INC.",Q,C,crh americas inc,0.0,False,,
C00347955,"LIFEPOINT HEALTH PAC - THE PAC OF LIFEPOINT CORPORATE SERVICES, GENERAL PARTNERSHIP (LCSGP) AND FACILITIES WHICH ARE SUBSIDIARIES OF LIFEPOINT HEALTH (COLLECTIVELY LIFEPOINT)","LIFEPOINT CORPORATE SERVICES, GENERAL PARTNERSHIP (LCSGP) AND FACILITIES WHICH ARE SUBSIDIARIES OF LIFEPOINT HEALTH (COLLECTIVELY LIFEPOINT)",Q,C,lifepoint health lifepoint corporate services general partnership lcsgp facilities which are subsidiaries lifepoint health collectively lifepoint,0.0,False,,
C00348276,"GTT COMMUNICATIONS, INC. PAC (GTT PAC)","GTT COMMUNICATIONS, INC. PAC (GTT PAC)",Q,C,gtt communications inc gtt,0.0,False,,
C00349373,GULF STATES TOYOTA INC FEDERAL POLITICAL ACTION COMMITTEE,"GULF STATES TOYOTA, INC.",Q,C,gulf states toyota inc federal,0.0,False,,
C00350835,THE ACXIOM LLC ASSOCIATES PAC,ACXIOM LLC,Q,C,acxiom llc associates,0.0,False,,
C00350884,RESOLUTE FOREST PRODUCTS US INC POLITICAL ACTION COMMITTEE,RESOLUTE FOREST PRODUCTS US INC.,Q,C,resolute forest products us inc,0.0,False,,
C00351924,BOK FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,BOK FINANCIAL CORP.,Q,C,bok financial corporation,0.0,False,,
C00353797,SIEMENS CORPORATION PAC,SIEMENS CORPORATION,Q,C,siemens corporation,0.0,False,,
C00354290,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I. FEDERAL PAC (AMFAM PAC)","AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",Q,C,american family mutual insurance company s i federal amfam,0.0,False,,
C00355719,CENTRUS ENERGY CORP. PAC,CENTRUS ENERGY CORP.,Q,C,centrus energy corp,0.0,False,,
C00356345,E*TRADE FINANCIAL CORPORATION PAC,E*TRADE FINANCIAL CORPORATION,Q,C,e trade financial corporation,0.0,False,,
C00358119,MONTANA CONSERVATION VOTERS CONGRESSIONAL ACTION FUND,MONTANA CONSERVATION VOTERS,Q,C,montana conservation voters congressional,0.0,False,,
C00358234,HEINEKEN USA INC GOOD GOVERNMENT FUND,HEINEKEN USA INC.,Q,C,heineken usa inc good government,0.0,False,,
C00360362,SCHWAN'S COMPANY POLITICAL ACTION COMMITTEE,SCHWAN'S COMPANY,Q,C,schwan s company,0.0,False,,
C00361014,SODEXO INC. POLITICAL ACTION COMMITTEE,SODEXO INC.,Q,C,sodexo inc,0.0,False,,
C00361949,TRIUMPH GROUP INC PAC,TRIUMPH GROUP INC,Q,C,triumph group inc,0.0,False,,
C00362640,CALPINE CORPORATION PAC,CALPINE CORPORATION,Q,C,calpine corporation,0.0,False,,
C00363853,"TRUEBLUE, INC. POLITICAL ACTION COMMITTEE","TRUEBLUE, INC.",Q,C,trueblue inc,0.0,False,,
C00363879,ENTERGY CORPORATION POLITICAL ACTION COMMITTEE (ENPAC),ENTERGY CORPORATION,Q,C,entergy corporation enpac,0.0,False,,
